"sentID","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF"
143,"de trein",32,40,80,1,"de","trein",3.5051
144,"het strand",37,40,92.5,1,"het","strand",3.2448
145,"de lift",37,40,92.5,1,"de","lift",3.457
146,"de auto",32,40,80,1,"de","auto",4.3017
147,"de politie",37,40,92.5,1,"de","politie",4.1801
148,"de bank",28,40,70,1,"de","bank",3.6042
149,"het platteland",32,40,80,1,"het","platteland",2.617
150,"de koelkast",37,40,92.5,1,"de","koelkast",2.8116
151,"het bestek",35,40,87.5,1,"het","bestek",1.9542
152,"de dierenarts",34,40,85,1,"de","dierenarts",2.415
153,"de gevangenis",37,40,92.5,1,"de","gevangenis",3.6616
154,"de economie",37,40,92.5,1,"de","economie",2.5658
155,"de schoorsteen",37,40,92.5,1,"de","schoorsteen",2.2788
156,"het geld",30,40,75,1,"het","geld",4.5404
157,"de film",30,40,75,1,"de","film",3.8821
158,"de radio",38,40,95,1,"de","radio",3.4096
159,"het balkon",32,40,80,1,"het","balkon",2.4639
160,"het land",33,40,82.5,1,"het","land",4.0282
161,"de krant",35,40,87.5,1,"de","krant",3.4059
